,English,Italian
0,part,parte
1,history,storia
2,search,ricerca
3,only,solo
4,police,Polizia Stradale
5,thought,pensiero
6,help,aiuto
7,request,richiesta
8,kind,tipo
9,month,mese
10,brother,fratello
11,let,permettere
12,because,perché
13,to put,mettere
14,no,no
15,leash,guinzaglio
16,them,loro
17,city,città
18,each,ogni
19,come,venire
20,should,dovrebbe
21,baby,bambino
22,long time,a lungo
23,hours,ore
24,will,volere
25,while,mentre
26,meet again,rincontrarsi
27,any,qualunque
28,speak,parlare
29,understood,inteso
30,knew,conosceva
31,were,erano
32,Warning,Avvertimento
33,here is,qui è
34,could,potevo
35,give,dare
36,type,genere
37,their,loro
38,train,treno
39,body,corpo
40,place,luogo
41,eyes,occhi
42,way,strada
43,listen,Ascoltare
44,whose,"il cui, di chi"
45,find,trovare
46,lost,perduto
47,hand,mano
48,first,primo
49,side,lato
50,power,energia
51,old,vecchio
52,be,essere
53,here,qui
54,morning,mattina
55,so much,così tanto
56,child,bambino
57,point,punto
58,came,è venuto
59,after,dopo
60,sorry,scusate
61,come,venire
62,in front of,davanti
63,towards,in direzione
64,minutes,minuti
65,request,richiesta
66,bedroom,Camera da letto
67,placed,posto
68,beautiful,Bellissima
69,law,legge
70,would like to,vorrei
71,today,oggi
72,husband,marito
73,cause,causa
74,finally,finalmente
75,hope,speranza
76,water,acqua
77,Wait,Attesa
78,left,sinistra
79,new,nuovo
80,job,lavoro
81,Stop,Fermare
82,would say,direi
83,Earth,terra
84,account,account
85,given,dato
86,far,lontano
87,end,fine
88,believe,credere
89,sweetheart,Tesoro
90,rather,piuttosto
91,girls,ragazze
92,to play,giocare
93,office,ufficio
94,monday,lunedì
95,tuesday,martedì
96,wednesday,Mercoledì
97,thursday,giovedi
98,friday,venerdì
99,saturday,il sabato
100,sunday,Domenica
101,january,gennaio
102,february,febbraio
103,march,marzo
104,april,aprile
105,may,Maggio
106,june,giugno
107,july,luglio
108,august,agosto
109,october,ottobre
110,november,novembre
111,december,dicembre
